51, 1956, 12, 16, "15", "17", "20", "23", "31", "35", nA, "151720233135", Sonntag
52, 1956, 12, 23, "01", "05", "13", "45", "47", "49", nA, "010513454749", Sonntag
1, 1957, 01, 06, "11", "17", "23", "26", "31", "38", nA, "111723263138", Sonntag
2, 1957, 01, 13, "04", "15", "16", "17", "19", "20", nA, "041516171920", Sonntag
3, 1957, 01, 20, "03", "06", "07", "12", "33", "47", nA, "030607123347", Sonntag
4, 1957, 01, 27, "02", "06", "09", "28", "39", "49", nA, "020609283949", Sonntag
5, 1957, 02, 03, "06", "12", "30", "34", "39", "43", nA, "061230343943", Sonntag
6, 1957, 02, 10, "09", "17", "18", "19", "31", "49", nA, "091718193149", Sonntag
7, 1957, 02, 17, "01", "09", "15", "31", "35", "42", nA, "010915313542", Sonntag
8, 1957, 02, 24, "02", "15", "16", "23", "28", "43", nA, "021516232843", Sonntag
9, 1957, 03, 03, "04", "09", "11", "34", "36", "45", nA, "040911343645", Sonntag
10, 1957, 03, 10, "02", "07", "18", "35", "36", "45", nA, "020718353645", Sonntag
11, 1957, 03, 17, "03", "14", "24", "32", "35", "44", nA, "031424323544", Sonntag
12, 1957, 03, 24, "14", "18", "22", "31", "45", "48", nA, "141822314548", Sonntag
13, 1957, 03, 31, "20", "26", "27", "30", "44", "47", nA, "202627304447", Sonntag
14, 1957, 04, 07, "02", "14", "18", "31", "40", "48", nA, "021418314048", Sonntag
15, 1957, 04, 14, "06", "15", "18", "28", "39", "44", nA, "061518283944", Sonntag
16, 1957, 04, 22, "11", "27", "35", "39", "44", "45", nA, "112735394445", Montag
17, 1957, 04, 28, "18", "20", "23", "33", "37", "43", nA, "182023333743", Sonntag
18, 1957, 05, 05, "02", "04", "22", "27", "31", "41", nA, "020422273141", Sonntag
19, 1957, 05, 12, "15", "17", "21", "24", "31", "40", nA, "151721243140", Sonntag
20, 1957, 05, 19, "16", "20", "28", "29", "30", "44", nA, "162028293044", Sonntag
21, 1957, 05, 26, "01", "03", "24", "35", "40", "45", nA, "010324354045", Sonntag
22, 1957, 06, 02, "03", "04", "14", "29", "32", "37", nA, "030414293237", Sonntag
